Banco;ID;Emp;Tipo;Regra;Descricao;Debito;D-Terc;D-C/C;Credito;C-Terc;C-C/C;Historico;Debito;D-Terc;D-C/C;Credito;C-Terc;C-C/C;Historico;
237;12777;2107;D;COM;APLIC.INVEST FACIL;05878;;;00884;;;APLIC.INVEST FACIL;;;;;;;;
237;12732;2076;D;COM;APLIC.INVEST FACIL;05231;;;00400;;;APLIC.INVEST FACIL;;;;;;;;
237;12443;1986;D;COM;APLIC.INVEST FACIL;05936;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;11592;1968;D;COM;APLIC.INVEST FACIL;05002;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;11577;1967;D;COM;APLIC.INVEST FACIL;05002;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;12458;1954;D;COM;APLIC.INVEST FACIL;05981;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;12295;1890;D;COM;APLIC.INVEST FACIL;05759;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;12292;1874;D;COM;APLIC.INVEST FACIL;05760;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;11087;1775;D;COM;APLIC.INVEST FACIL;05563;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;11077;1774;D;COM;APLIC.INVEST FACIL;05565;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;11605;1720;D;COM;APLIC.INVEST FACIL;05024;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;12369;1582;D;COM;APLIC.INVEST FACIL;05468;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;12555;1581;D;COM;APLIC.INVEST FACIL;05467;;;00627;;;APLIC.INVEST FACIL;;;;;;;;
237;3599;1572;D;COM;APLIC.INVEST FACIL;05358;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;4805;1537;D;COM;APLIC.INVEST FACIL;00502;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;4746;1536;D;COM;APLIC.INVEST FACIL;05184;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;4726;1535;D;COM;APLIC.INVEST FACIL;05184;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;4721;1534;D;COM;APLIC.INVEST FACIL;05184;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;4677;1497;D;COM;APLIC.INVEST FACIL;05102;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;4709;1496;D;COM;APLIC.INVEST FACIL;05184;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;12327;1486;D;COM;APLIC.INVEST FACIL;05198;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;12329;1486;D;COM;APLIC.INVEST FACIL;05198;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;12331;1486;D;COM;APLIC.INVEST FACIL;05202;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;5982;1460;D;COM;APLIC.INVEST FACIL;05070;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;4694;1447;D;COM;APLIC.INVEST FACIL;05011;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;6216;1407;D;COM;APLIC.INVEST FACIL;05370;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;4154;1386;D;COM;APLIC.INVEST FACIL;1191301;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;4618;1304;D;COM;APLIC.INVEST FACIL;05002;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;4689;1303;D;COM;APLIC.INVEST FACIL;05002;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;12835;1278;D;COM;APLIC.INVEST FACIL;05074;;;00162;;;APLIC.INVEST FACIL;;;;;;;;
237;4600;1069;D;COM;APLIC.INVEST FACIL;05011;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;4587;1026;D;COM;APLIC.INVEST FACIL;05024;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;4585;1022;D;COM;APLIC.INVEST FACIL;05058;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;6091;0993;D;COM;APLIC.INVEST FACIL;05246;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;6053;0962;D;COM;APLIC.INVEST FACIL;05123;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;6276;0927;D;COM;APLIC.INVEST FACIL;501151;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;11785;0243;D;COM;APLIC.INVEST FACIL;501234;;;101134;;;APLIC.INVEST FACIL;;;;;;;;
237;12819;0243;D;COM;APLIC.INVEST FACIL;501227;;;101134;;;APLIC.INVEST FACIL;;;;;;;;
237;6138;0136;D;COM;APLIC.INVEST FACIL;05045;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;3812;9999;D;COM;APLIC.INVEST PLUS;05002;;;#BCO;;;APLIC.INVEST PLUS;;;;;;;;
237;3824;1152;D;COM;APLIC.INVEST PLUS;05073;;;#BCO;;;APLIC.INVEST PLUS;;;;;;;;
237;3590;1152;D;COM;APLIC.INVEST PLUS;05079;;;#BCO;;;APLIC.INVEST PLUS;;;;;;;;
237;6085;0993;D;COM;APLIC.INVEST PLUS;05246;;;#BCO;;;APLIC.INVEST PLUS;;;;;;;;
237;6065;0993;D;COM;APLIC.INVEST PLUS;05246;;;#BCO;;;APLIC.INVEST PLUS;;;;;;;;
237;1127;2076;D;COM;APLICACAO AUTOMATICA;05231;;;#BCO;;;APLICACAO AUTOMATICA;;;;;;;;
237;12770;1954;D;COM;APLICACAO AUTOMATICA;05981;;;00987;;;APLICACAO AUTOMATICA;;;;;;;;
237;12727;1363;D;COM;APLICACAO CDB;05560;;;#BCO;;;APLICACAOATE DE INVESTIMENTOS;;;;;;;;
237;1215;0663;D;COM;APLICACAO EM FUNDOS;1191301;;;#BCO;;;APLICACAO EM FUNDOS;;;;;;;;
237;158;9999;D;COM;APLICACAO EM FUNDOS BRAD E FICFIDI TOP;05024;;;#BCO;;;APLICACAO EM FUNDOS BRAD E FICFIDI TOP;;;;;;;;
237;1081;1026;D;COM;APLICACAO EM FUNDOS FIC R DI HIPERFUNDO;05024;;;#BCO;;;APLICACAO EM FUNDOS FIC R DI HIPERFUNDO;;;;;;;;
237;104;9999;D;COM;APLICACAO EM FUNDOS FIC R.DI HIPERFUNDO;05024;;;#BCO;;;APLICACAO EM FUNDOS FIC R.DI HIPERFUNDO;;;;;;;;
237;4191;1386;D;COM;APLICACAO EM FUNDOS FIC RF DI HIPERFUNDO;1191201;;;#BCO;;;APLICACAO EM FUNDOS FIC RF DI HIPERFUNDO;;;;;;;;
237;6263;0962;D;COM;APLICACAO EM FUNDOS FIC RF DI HIPERFUNDO;05123;;;#BCO;;;APLICACAO EM FUNDOS FIC RF DI HIPERFUNDO;;;;;;;;
237;3703;1430;D;COM;APLICACAO EM FUNDOS FICFIRF DI SPECIAL;05024;;;#BCO;;;APLICACAO EM FUNDOS FICFIRF DI SPECIAL;;;;;;;;
237;11593;1968;D;COM;APLICACAO EM FUNDOS FICFIRF SIMPLES ONIX;05001;;;#BCO;;;APLICACAO EM FUNDOS FICFIRF SIMPLES ONIX;;;;;;;;
237;11576;1967;D;COM;APLICACAO EM FUNDOS FICFIRF SIMPLES ONIX;05001;;;#BCO;;;APLICACAO EM FUNDOS FICFIRF SIMPLES ONIX;;;;;;;;
237;12619;1954;D;COM;APLICACAO EM FUNDOS SIMPLES AUTOM;05983;;;00987;;;APLICACAO EM FUNDOS SIMPLES AUTOM;;;;;;;;
237;1129;9999;D;COM;APLICACAO EM PAPEIS;11812;;;#BCO;;;APLICACAO EM PAPEIS;;;;;;;;
237;11767;1546;C;COM;APLICACAO INVESTIMENTOS;1100003;;;#BCO;;;APLICACAO INVESTIMENTOS;;;;;;;;
237;12584;2196;D;COM;APLICACAO INVESTIMENTOS;05966;;;#BCO;;;APLICACAO INVESTIMENTOS;;;;;;;;
237;12558;1363;D;COM;APLICACAO INVESTIMENTOS;05560;;;#BCO;;;APLICACAO INVESTIMENTOS;;;;;;;;
237;12830;0927;D;COM;APLICACAO INVESTIMENTOS;501151;;;#BCO;;;APLICACAO INVESTIMENTOS;;;;;;;;
237;140;9999;D;COM;APLICACAO MERCADO ABERTO;11812;;;#BCO;;;APLICACAO MERCADO ABERTO;;;;;;;;
237;3810;9999;D;COM;APLICACOES EM PAPEIS;05002;;;#BCO;;;APLICACOES EM PAPEIS;;;;;;;;
237;3503;1460;D;COM;APLICACOES EM PAPEIS;05003;;;#BCO;;;APLICACOES EM PAPEIS;;;;;;;;
237;3482;1386;D;COM;APLICACOES EM PAPEIS;05272;;;#BCO;;;APLICACOES EM PAPEIS;;;;;;;;
237;3487;1378;D;COM;APLICACOES EM PAPEIS;1191301;;;#BCO;;;APLICACOES EM PAPEIS;;;;;;;;
237;3489;1376;D;COM;APLICACOES EM PAPEIS;1191301;;;#BCO;;;APLICACOES EM PAPEIS;;;;;;;;
237;3496;1235;D;COM;APLICACOES EM PAPEIS;1191301;;;#BCO;;;APLICACOES EM PAPEIS;;;;;;;;
237;3492;1178;D;COM;APLICACOES EM PAPEIS;1191301;;;#BCO;;;APLICACOES EM PAPEIS;;;;;;;;
237;3499;1169;D;COM;APLICACOES EM PAPEIS;1191301;;;#BCO;;;APLICACOES EM PAPEIS;;;;;;;;
237;635;1152;D;COM;APLICACOES EM PAPEIS;05073;;;#BCO;;;APLICACOES EM PAPEIS;;;;;;;;
237;610;1069;D;COM;APLICACOES EM PAPEIS;05011;;;#BCO;;;APLICACOES EM PAPEIS;;;;;;;;
237;37;1029;D;COM;APLICACOES EM PAPEIS;05011;;;#BCO;;;APLICACOES EM PAPEIS;;;;;;;;
237;3527;0851;D;COM;APLICACOES EM PAPEIS;05005;;;#BCO;;;APLICACOES EM PAPEIS;;;;;;;;
237;1568;1169;D;COM;AQUISICAO/DEVOLUCAO-SEG.;1191201;;;#BCO;;;AQUISICAO/DEVOLUCAO-SEG.;11522;;;11529;;;Pagto.Aquisicao;
237;149;9999;D;COM;AQUISICAO/DEVOLUCAO-SEG. DIVERSOS RECEBIMENTOS;;;;#BCO;;;AQUISICAO/DEVOLUCAO-SEG. DIVERSOS RECEBIMENTOS;;;;;;;;
237;2896;9999;C;COM;BAIXA AUTOMAT POUPANCA*;#BCO;;;05011;;;BAIXA AUTOMAT POUPANCA*;;;;;;;;
237;1564;1169;C;COM;BAIXA AUTOMAT POUPANCA*;#BCO;;;05011;;;BAIXA AUTOMAT POUPANCA*;;;;;;;;
237;1134;0994;C;COM;BAIXA AUTOMAT POUPANCA*;#BCO;;;05011;;;BAIXA AUTOMAT POUPANCA*;;;;;;;;
237;10919;9999;C;COM;BAIXA AUTOMATICA FUNDOS;#BCO;;;1191101;;;BAIXA AUTOMATICA FUNDOS;;;;;;;;
237;11596;1968;C;COM;BAIXA AUTOMATICA FUNDOS;00010;;;05001;;;BAIXA AUTOMATICA FUNDOS;;;;;;;;
237;11578;1967;C;COM;BAIXA AUTOMATICA FUNDOS;00010;;;05001;;;BAIXA AUTOMATICA FUNDOS;;;;;;;;
237;84;9999;D;COM;BAIXA OPERACAO DESCONTO;5713003;;;#BCO;;;BAIXA OPERACAO DESCONTO;;;;;;;;
237;2185;9999;D;COM;BLOQUEIO-ORDEM JUDICIAL;12112;;;#BCO;;;BLOQUEIO-ORDEM JUDICIAL;;;;;;;;
237;4247;9999;D;COM;BLOQUEIO-ORDEM JUDICIAL OFICIO;12112;;;#BCO;;;BLOQUEIO-ORDEM JUDICIAL OFICIO;;;;;;;;
237;1264;1026;D;COM;BRADESCO NET EMPRESA INTERNET  GARE;1191201;;;#BCO;;;BRADESCO NET EMPRESA INTERNET  GARE;11527;;;11529;;;Pagto.Impostos;
237;157;9999;D;COM;BRADESCO NET EMPRESA INTERNET  GARE-DR;1191201;;;#BCO;;;BRADESCO NET EMPRESA INTERNET  GARE-DR;11527;;;11529;;;Pagto.Impostos;
237;87;9999;D;COM;BRADESCO NET EMPRESA INTERNET  GARE-ICMS;1191201;;;#BCO;;;BRADESCO NET EMPRESA INTERNET  GARE-ICMS;11527;;;11529;;;Pagto.Impostos;
237;582;1069;D;COM;BRADESCO NET EMPRESA INTERNET  GARE-ICMS;1191201;;;#BCO;;;BRADESCO NET EMPRESA INTERNET  GARE-ICMS;11527;;;11529;;;Pagto.Impostos - ICMS;
237;4147;9999;D;COM;BRADESCO NET EMPRESA INTERNET GARE-ICMS;1191201;;;#BCO;;;BRADESCO NET EMPRESA INTERNET GARE-ICMS;11527;;;11529;;;Pagto.Imposto;
237;938;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA;21111;048111;;11529;;;Pagto.t�tulo;
237;12587;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 0220;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 0220;;;;;;;;
237;143;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 0473;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 0473;21268;;;11529;;;Pagto.DARF 0473 - IRRF;
237;40;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 0561;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 0561;21266;;;11529;;;Pagto.DARF 0561 - IRRF;
237;11597;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 1070;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 1070;52430;;;11529;;;Pagto.DARF 1070 - ITR;
237;118;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 1708;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 1708;21269;;;11529;;;Pagto.DARF 1708 - IRRF;
237;116;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 2089;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 2089;21248;;;11529;;;Pagto.DARF 2089 - IRPJ;
237;41;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 2172;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 2172;21211;;;11529;;;Pagto.DARF 2172 - COFINS;
237;117;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 2372;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 2372;21217;;;11529;;;Pagto.DARF 2372 - CSLL;
237;11579;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 4737;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 4737;22256;;;11529;;;Pagto.DARF 4737 - Parcelamento;
237;11580;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 4750;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 4750;22256;;;11529;;;Pagto.DARF 4750 - Parcelamento;
237;12444;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 5123;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 5123;;;;;;;;
237;136;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 5856;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 5856;21211;;;11529;;;Pagto.DARF 5856 - COFINS;
237;73;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 5952;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 5952;21283;;;11529;;;Pagto.DARF 5952 - PCC;
237;12588;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 6012;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 6012;;;;;;;;
237;515;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 6621;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 6621;52356;;;11529;;;Pagto.DARF 6621 - Registro Comercial;
237;137;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 6912;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 6912;21274;;;11529;;;Pagto.DARF 6912 - PIS;
237;119;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 8045;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 8045;21211;;;11529;;;Pagto.DARF 8045 - COFINS;
237;42;9999;D;COM;BRADESCO NET EMPRESA NET EMPRESA DARF 8109;1191201;;;#BCO;;;BRADESCO NET EMPRESA NET EMPRESA DARF 8109;21274;;;11529;;;Pagto.DARF 8109 - PIS;
237;536;9999;C;COM;BX AUTOMATICA APLICACOES;00010;;;05002;;;BX AUTOMATICA APLICACOES;;;;;;;;
237;539;9999;C;COM;BX AUTOMATICA APLICACOES;00010;;;05002;;;BX AUTOMATICA APLICACOES;;;;;;;;
237;537;9999;C;COM;BX AUTOMATICA APLICACOES;00010;;;05002;;;BX AUTOMATICA APLICACOES;;;;;;;;
237;538;9999;C;COM;BX AUTOMATICA APLICACOES;00010;;;05002;;;BX AUTOMATICA APLICACOES;;;;;;;;
237;535;9999;C;COM;BX AUTOMATICA APLICACOES;00010;;;05002;;;BX AUTOMATICA APLICACOES;;;;;;;;
237;4239;1178;C;COM;BX AUTOMATICA APLICACOES;#BCO;;;05203;;;BX AUTOMATICA APLICACOES;;;;;;;;
237;4266;1169;D;COM;BX AUTOMATICA APLICACOES;1191201;;;#BCO;;;BX AUTOMATICA APLICACOES;;;;;;;;
237;4268;1169;D;COM;BX AUTOMATICA APLICACOES;1191201;;;#BCO;;;BX AUTOMATICA APLICACOES;;;;;;;;
237;824;9999;D;COM;BX.ANT.FINANC/EMP-DBTP AMORTIZ. SALDO ;1191201;;;#BCO;;;BX.ANT.FINANC/EMP-DBTP AMORTIZ. SALDO ;;;;;;;;
237;511;9999;D;COM;CAMBIO EXPORTACAO;1191201;;;#BCO;;;CAMBIO EXPORTACAO;;;;;;;;
237;12867;9999;C;COM;CAMBIO EXPORTACAO CAMBIO EXP CTR   000000446216531;#BCO;;;1191101;;;CAMBIO EXPORTACAO CAMBIO EXP CTR   000000446216531;;;;;;;;
237;509;9999;C;COM;CAMBIO FINANCEIRO;#BCO;;;1191101;;;CAMBIO FINANCEIRO;;;;;;;;
237;510;9999;D;COM;CAMBIO FINANCEIRO;1191201;;;#BCO;;;CAMBIO FINANCEIRO;;;;;;;;
237;138;9999;D;COM;CAMBIO IMPORTACAO;1191201;;;#BCO;;;CAMBIO IMPORTACAO;;;;;;;;
237;147;9999;D;COM;CAP.GIRO CURTO PRAZO;1191201;;;#BCO;;;CAP.GIRO CURTO PRAZO;21543;;;11529;;;Pagto.empr�stimo - Contrato n� &NOME39;
237;3296;1460;D;COM;CARGA CARTAO TRANSPORTES ;1191201;;;#BCO;;;CARGA CARTAO TRANSPORTES ;;;;;;;;
237;3016;1430;D;COM;CARNET ESPECIE;1191201;;;#BCO;;;CARNET ESPECIE;;;;;;;;
237;1203;9999;D;COM;CARTAO CREDITO ANUIDADE;5713003;;;#BCO;;;CARTAO CREDITO ANUIDADE;;;;;;;;
237;3301;1460;D;COM;CARTAO CREDITO ANUIDADE;5713003;;;#BCO;;;CARTAO CREDITO ANUIDADE;;;;;;;;
237;2904;1376;D;COM;CARTAO CREDITO ANUIDADE;1191201;;;#BCO;;;CARTAO CREDITO ANUIDADE;;;;;;;;
237;79;9999;C;COM;CARTAO VISA ELECTRON;#BCO;;;1191101;;;CARTAO VISA ELECTRON;11531;;;11213;048111;;Recebimento - Cart�o Visa Electron;
237;3528;9999;D;COM;CARTAO VISA ELECTRON;1191201;;;#BCO;;;CARTAO VISA ELECTRON;;;;;;;;
237;3;9999;D;COM;CHEQUE;1191201;;;#BCO;;;CHEQUE;11522;;;11529;;;Pagto.Cheque;
237;4271;9999;C;COM;CHEQUE COMPENSADO;#BCO;;;1199999;;;CHEQUE COMPENSADO;;;;;;;;
237;4275;9999;D;COM;CHEQUE COMPENSADO;1191201;;;#BCO;;;CHEQUE COMPENSADO;;;;;;;;
237;4132;9999;D;COM;CHEQUE ESPECIE;1191201;;;#BCO;;;CHEQUE ESPECIE;;;;;;;;
237;58;9999;D;COM;CHQ.;11411;;;#BCO;;;CHQ.;;;;;;;;
237;9412;9999;C;COM;CIELO AMEX CIELO SA;#BCO;;;1191101;;;CIELO AMEX CIELO SA;11531;;;11213;037848;;Recebimento.cartoes - CIELO AS;
237;6268;1576;C;COM;CIELO AMEX CIELO SA;#BCO;;;1191101;;;CIELO AMEX CIELO SA;;;;;;;;
237;10239;9999;C;COM;CIELO HIPER CREDITO CIELO SA;#BCO;;;1191101;;;CIELO HIPER CREDITO CIELO SA;11531;;;11213;142348;;Recebimento.cartoes - Cielo Hiper Credito Cielo;
237;6267;1576;C;COM;CIELO HIPER CREDITO CIELO SA;#BCO;;;1191101;;;CIELO HIPER CREDITO CIELO SA;;;;;;;;
237;89;9999;C;COM;CIELO VDA CREDITO DINERS;#BCO;;;1191101;;;CIELO VDA CREDITO DINERS;11531;;;11218;;;Recebimento - Cielo Cr�dito;
237;988;1026;C;COM;CIELO VDA CREDITO DINERS CIA BRAS DE MEIOS DE PAGAMENTO;#BCO;;;1191101;;;CIELO VDA CREDITO DINERS CIA BRAS DE MEIOS DE PAGAMENTO;11531;;;11213;037848;;Recebimento - Cielo Cr�dito;
237;5833;9999;C;COM;CIELO VDA CREDITO DINERS CIELO SA;;;;;;;CIELO VDA CREDITO DINERS CIELO SA;;;;;;;;
237;823;9999;C;COM;CIELO VDA CREDITO ELO CIA BRAS DE MEIOS DE PAGAMENTO;#BCO;;;1191101;;;CIELO VDA CREDITO ELO CIA BRAS DE MEIOS DE PAGAMENTO;11531;;;11213;037848;;Recebimento - Cielo Cr�dito;
237;587;1069;C;COM;CIELO VDA CREDITO ELO CIA BRAS DE MEIOS DE PAGAMENTO;#BCO;;;1191101;;;CIELO VDA CREDITO ELO CIA BRAS DE MEIOS DE PAGAMENTO;11531;;;11213;037848;;Recebimento - Cielo Cr�dito;
237;10238;9999;C;COM;CIELO VDA CREDITO ELO CIELO SA;#BCO;;;1191101;;;CIELO VDA CREDITO ELO CIELO SA;11531;;;11213;037848;;Recebimento.cartoes - Cielo VDA Credito Elo Cielo ;
237;6266;1576;C;COM;CIELO VDA CREDITO ELO CIELO SA;#BCO;;;1191101;;;CIELO VDA CREDITO ELO CIELO SA;;;;;;;;
237;6052;0962;C;COM;CIELO VDA CREDITO ELO CIELO SA;#BCO;;;1191101;;;CIELO VDA CREDITO ELO CIELO SA;;;;;;;;
237;81;9999;C;COM;CIELO VDA CREDITO MASTER;#BCO;;;1191101;;;CIELO VDA CREDITO MASTER;11531;;;11218;;;Recebimento - Cielo Cr�dito;
237;747;1028;C;COM;CIELO VDA CREDITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO;#BCO;;;1191101;;;CIELO VDA CREDITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO;11531;;;11213;037848;;Recebimento - Cielo Cr�dito;
237;746;1026;C;COM;CIELO VDA CREDITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO;#BCO;;;1191101;;;CIELO VDA CREDITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO;11531;;;11213;037848;;Recebimento - Cielo Cr�dito;
237;5832;9999;C;COM;CIELO VDA CREDITO MASTER CIELO SA;;;;;;;CIELO VDA CREDITO MASTER CIELO SA;;;;;;;;
237;145;9999;C;COM;CIELO VDA DEBITO;#BCO;;;1191101;;;CIELO VDA DEBITO;11531;;;11213;037848;;Recebimento - Cielo D�bito;
237;619;1069;C;COM;CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO;#BCO;;;1191101;;;CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO;11531;;;11213;037848;;Recebimento - Cielo D�bito;
237;6139;9999;C;COM;CIELO VDA DEBITO ELO CIELO SA;;;;;;;CIELO VDA DEBITO ELO CIELO SA;;;;;;;;
237;80;9999;C;COM;CIELO VDA DEBITO MASTER;#BCO;;;1191101;;;CIELO VDA DEBITO MASTER;11531;;;11217;;;Recebimento - Cielo D�bito;
237;146;1028;C;COM;CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO;#BCO;;;1191101;;;CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO;11531;;;11213;037848;;Recebimento - Cielo D�bito;
237;987;1026;C;COM;CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO;#BCO;;;1191101;;;CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO;11531;;;11213;037848;;Recebimento - Cielo Cr�dito;
